2026-06-10 23:33:28 | INFO     | vigilant-detect.registry | Saved model artifacts to models/model_20260610_203328_32f7cd1b
2026-06-10 23:36:21 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-10 23:36:21 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
2026-06-10 23:36:32 | INFO     | vigilant-detect.trainer | Computing training features on full dataset ...
2026-06-10 23:36:32 | INFO     | vigilant-detect.trainer | Splitting pre-featurized dataset (70/5/5/5/15) ...
2026-06-10 23:36:32 | INFO     | vigilant-detect.trainer | Split sizes: train=140000, val_stop=10000, val_calibration=10000, threshold_set=10000, test=30000
2026-06-10 23:36:33 | INFO     | vigilant-detect.trainer | Phase 1: XGBoost training (scale_pos_weight=19.40) ...
2026-06-10 23:36:33 | INFO     | vigilant-detect.trainer | Phase 2: Isotonic calibration on val_calibration ...
2026-06-10 23:36:33 | INFO     | vigilant-detect.trainer | ECE on val_calibration: 0.0000
2026-06-10 23:36:33 | INFO     | vigilant-detect.trainer | Phase 3: Threshold tuning on threshold_set ...
2026-06-10 23:36:33 | INFO     | vigilant-detect.trainer | Tuned thresholds: challenge=0.388, block=0.023, geo=1000.0km, dormancy=168.0h
2026-06-10 23:36:33 | INFO     | vigilant-detect.trainer | Phase 4: Final evaluation on test set (3-seed gate) ...
2026-06-10 23:36:34 | INFO     | vigilant-detect.trainer | Final PR-AUC on test: 0.4627
2026-06-10 23:36:34 | INFO     | vigilant-detect.registry | Saved model artifacts to models/model_20260610_203634_828ddcdc
2026-06-11 00:17:52 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-11 00:17:52 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
2026-06-11 00:18:50 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-11 00:18:50 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
